Designator,Mid X,Mid Y,Rotation,Layer
D1,81.202917,-107.90875,90.0,bottom
D10,252.577917,-107.90875,90.0,bottom
D11,271.619584,-107.90875,90.0,bottom
D12,290.66125,-107.90875,90.0,bottom
D13,309.702917,-107.90875,90.0,bottom
D14,344.190417,-107.870832,90.0,bottom
D15,367.202917,-108.59875,90.0,bottom
D16,85.952917,-127.04875,90.0,bottom
D17,109.919258,-127.04875,90.0,bottom
D18,128.955885,-127.04875,90.0,bottom
D19,147.992512,-127.04875,90.0,bottom
D2,100.244584,-107.90875,90.0,bottom
D20,167.029139,-127.04875,90.0,bottom
D21,186.065766,-127.04875,90.0,bottom
D22,205.102393,-127.04875,90.0,bottom
D23,224.139021,-127.04875,90.0,bottom
D24,243.175648,-127.04875,90.0,bottom
D25,262.212275,-127.04875,90.0,bottom
D26,281.248902,-127.04875,90.0,bottom
D27,300.285529,-127.04875,90.0,bottom
D28,319.322156,-127.04875,90.0,bottom
D29,342.952917,-127.04875,90.0,bottom
D3,119.28625,-107.90875,90.0,bottom
D30,366.952917,-126.73875,90.0,bottom
D31,88.427073,-146.218781,90.0,bottom
D32,114.452917,-146.218781,90.0,bottom
D33,133.502917,-146.218781,90.0,bottom
D34,152.552917,-146.218781,90.0,bottom
D35,171.602917,-146.218781,90.0,bottom
D36,190.652917,-146.218781,90.0,bottom
D37,209.702917,-146.218781,90.0,bottom
D38,228.752917,-146.218781,90.0,bottom
D39,247.802917,-146.218781,90.0,bottom
D4,138.327917,-107.90875,90.0,bottom
D40,266.852917,-146.218781,90.0,bottom
D41,285.902917,-146.218781,90.0,bottom
D42,304.952917,-146.218781,90.0,bottom
D43,335.952917,-146.04875,90.0,bottom
D44,366.952917,-146.04875,90.0,bottom
D45,93.202917,-164.87875,90.0,bottom
D46,124.202917,-164.87875,90.0,bottom
D47,143.230695,-164.87875,90.0,bottom
D48,162.258473,-164.87875,90.0,bottom
D49,181.28625,-164.87875,90.0,bottom
D5,157.369584,-107.90875,90.0,bottom
D50,200.314028,-164.87875,90.0,bottom
D51,219.341806,-164.87875,90.0,bottom
D52,238.369584,-164.87875,90.0,bottom
D53,257.397361,-164.87875,90.0,bottom
D54,276.425139,-164.87875,90.0,bottom
D55,295.452917,-164.87875,90.0,bottom
D56,321.702917,-164.70875,90.0,bottom
D57,347.952917,-164.82875,90.0,bottom
D58,366.952917,-164.82875,90.0,bottom
D59,83.452917,-184.01875,90.0,bottom
D6,176.41125,-107.90875,90.0,bottom
D60,107.452917,-184.01875,90.0,bottom
D61,131.452917,-184.01875,90.0,bottom
D62,202.520195,-183.82875,90.0,bottom
D63,271.82538,-184.01875,90.0,bottom
D64,290.850887,-184.01875,90.0,bottom
D65,309.876395,-184.01875,90.0,bottom
D66,328.901902,-184.01875,90.0,bottom
D67,347.92741,-184.01875,90.0,bottom
D68,366.952917,-182.20875,90.0,bottom
D69,320.520195,-76.57375,270.0,top
D7,195.452917,-107.90875,90.0,bottom
D70,314.567917,-76.57375,270.0,top
D8,214.494584,-107.90875,90.0,bottom
D9,233.53625,-107.90875,90.0,bottom
J1,297.020195,-75.819883,0.0,top
RESW1,334.770195,-75.919883,0.0,top
RESW2,355.770195,-75.919883,0.0,top
SW1,72.727917,-103.93375,0.0,top
SW10,244.177917,-103.93375,0.0,top
SW11,263.227917,-103.93375,0.0,top
SW12,282.277917,-103.93375,0.0,top
SW13,301.327917,-103.93375,0.0,top
SW14,329.902917,-103.93375,0.0,top
SW15,358.477917,-103.93375,0.0,top
SW16,77.490417,-122.98375,0.0,top
SW17,101.302917,-122.98375,0.0,top
SW18,120.352917,-122.98375,0.0,top
SW19,139.402917,-122.98375,0.0,top
SW2,91.777917,-103.93375,0.0,top
SW20,158.452917,-122.98375,0.0,top
SW21,177.502917,-122.98375,0.0,top
SW22,196.552917,-122.98375,0.0,top
SW23,215.602917,-122.98375,0.0,top
SW24,234.652917,-122.98375,0.0,top
SW25,253.702917,-122.98375,0.0,top
SW26,272.752917,-122.98375,0.0,top
SW27,291.802917,-122.98375,0.0,top
SW28,310.852917,-122.98375,0.0,top
SW29,334.665417,-122.98375,0.0,top
SW3,110.827917,-103.93375,0.0,top
SW30,358.477917,-122.98375,0.0,top
SW31,79.871667,-142.03375,0.0,top
SW32,106.065417,-142.03375,0.0,top
SW33,125.115417,-142.03375,0.0,top
SW34,144.165417,-142.03375,0.0,top
SW35,163.215417,-142.03375,0.0,top
SW36,182.265417,-142.03375,0.0,top
SW37,201.315417,-142.03375,0.0,top
SW38,220.365417,-142.03375,0.0,top
SW39,239.415417,-142.03375,0.0,top
SW4,129.877917,-103.93375,0.0,top
SW40,258.465417,-142.03375,0.0,top
SW41,277.515417,-142.03375,0.0,top
SW42,296.565417,-142.03375,0.0,top
SW43,327.521667,-142.03375,0.0,top
SW44,358.477917,-142.03375,0.0,top
SW45,84.634167,-161.08375,0.0,top
SW46,115.590417,-161.08375,0.0,top
SW47,134.640417,-161.08375,0.0,top
SW48,153.690417,-161.08375,0.0,top
SW49,172.740417,-161.08375,0.0,top
SW5,148.927917,-103.93375,0.0,top
SW50,191.790417,-161.08375,0.0,top
SW51,210.840417,-161.08375,0.0,top
SW52,229.890417,-161.08375,0.0,top
SW53,248.940417,-161.08375,0.0,top
SW54,267.990417,-161.08375,0.0,top
SW55,287.040417,-161.08375,0.0,top
SW56,313.234167,-161.08375,0.0,top
SW57,339.427917,-161.08375,0.0,top
SW58,358.477917,-161.08375,0.0,top
SW59,75.109167,-180.13375,0.0,top
SW6,167.977917,-103.93375,0.0,top
SW60,98.921667,-180.13375,0.0,top
SW61,122.734167,-180.13375,0.0,top
SW62,194.171667,-180.13375,0.0,top
SW63,263.227917,-180.13375,0.0,top
SW64,282.277917,-180.13375,0.0,top
SW65,301.327917,-180.13375,0.0,top
SW66,320.377917,-180.13375,0.0,top
SW67,339.427917,-180.13375,0.0,top
SW68,358.477917,-180.13375,0.0,top
